ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,COLLECTION_DATE,DELETED
3470,Food-Spice,Mixed spices,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,01/18/2019 12:00:00 AM,No
5054,Dietary Supplement/Medications/Remedy,Superior Liver Support No.1 Gandezhi Capsule Dietary Supplement,Cadmium,-1,ppm,Guangzhou Baiyunshan Jinxiutang Pharmaceutical Com,CHINA,12/13/2019 12:00:00 AM,No
380,Food Other,Potato chips,Lead,1.3,ppm,ASSOCIATED BRANDS IND LTD,TRINIDAD AND TOBAGO,02/01/2012 12:00:00 AM,No
1722,Food-Spice,Curry powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,04/07/2016 12:00:00 AM,No
3053,Toys/Children's Products,Toy,Lead,-1,ppm,UNKNOWN OR NOT STATED,CHINA,07/09/2018 12:00:00 AM,No
722,Food-Spice,Turmeric,Lead,640,ppm,UNKNOWN OR NOT STATED,BANGLADESH,02/20/2013 12:00:00 AM,No
5058,Dietary Supplement/Medications/Remedy,Visex Extract (Concentrated) Dietary Herbal Supplement Ming Mu Di Huang Wan,Cadmium,-1,ppm,UNKNOWN OR NOT STATED,CHINA,12/13/2019 12:00:00 AM,No
3640,Toys/Children's Products,Crayons,Lead,3.4,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/13/2019 12:00:00 AM,No
4558,Food-Spice,All Spices,Lead,-1,ppm,UNKNOWN OR NOT STATED,JAMAICA,08/16/2019 12:00:00 AM,No
1001,Food-Spice,Cumin,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,12/10/2013 12:00:00 AM,No
3016,Other,Soil from potted plant,Lead,6.6,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,06/11/2018 12:00:00 AM,No
3236,Food Other,Kinkiliba mixed with Ngeer,Lead,-1,ppm,UNKNOWN OR NOT STATED,NIGERIA,11/01/2018 12:00:00 AM,No
